rank,original_rank,symbol,name,market_cap_usd
1,1,BTC,Bitcoin,90804613600.61603
2,2,ETH,Ethereum,12366138225.084894
3,3,XRP,XRP,6118533337.229634
4,5,BCH,Bitcoin Cash,2789876800.046329
5,6,BSV,Bitcoin SV,1993443454.390241
6,7,LTC,Litecoin,1988180693.5871618
7,8,EOS,EOS,1701862021.0401695
8,9,BNB,Binance Coin,1493178250.057812
9,10,LEO,UNUS SED LEO,985895117.3532473
10,11,XTZ,Tezos,962437719.8243564
11,12,LINK,Chainlink,722672643.7
12,13,XLM,Stellar,677492669.1501045
13,14,ADA,Cardano,621232514.3103101
14,15,TRX,TRON,586251721.7701335
15,16,XMR,Monero,577030302.5281264
16,17,HT,Huobi Token,552969522.5678537
17,19,ETC,Ethereum Classic,461059597.878635
18,20,CRO,Crypto.com Coin,427932842.84953964
19,21,DASH,Dash,426953327.48444456
20,22,NEO,Neo,416467383.73284817
21,23,FLG,Folgory Coin,385456958.1914761
22,24,HEDG,HedgeTrade,384037286.7385147
23,25,STO,Storeum,343999770.346945
24,26,MIOTA,IOTA,314595934.9081801
25,27,ATOM,Cosmos,314483970.42114663
26,28,TAGZ5,TAGZ5,311351779.70166373
27,29,XEM,NEM,291021718.10316426
28,30,ZEC,Zcash,248134474.73744664
29,31,MIN,MINDOL,222444344.19595686
30,32,MKR,Maker,213469008.53888768
31,33,FTT,FTX Token,207037054.13195294
32,34,PAX,Paxos Standard,202634812.9504253
33,35,ONT,Ontology,202398759.35477117
34,36,DOGE,Dogecoin,190144933.81601396
35,37,BAT,Basic Attention Token,171946483.4227928
36,38,PLF,PlayFuel,170715997.648
37,39,OKB,OKB,160339918.332
38,40,BRC,Baer Chain,156493369.136952
39,41,INO,INO COIN,142029017.06161335
40,43,VET,VeChain,133128116.7416271
41,44,DNA,Metaverse Dualchain Network Architecture,131918121.46987692
42,45,PZM,PRIZM,115383549.5214528
43,47,DAI,Multi-collateral DAI,109634314.8488932
44,48,QTUM,Qtum,104619366.17118822
45,49,DCR,Decred,102432982.55302092
46,50,ZB,ZB Token,100926102.83264843
47,51,ZRX,0x,94435836.79356347
48,52,GTN,GlitzKoin,93312282.31992142
49,53,BTG,Bitcoin Gold,92908615.8037674
50,54,ALGO,Algorand,92053288.65998842
51,55,KCS,KuCoin Shares,90477150.21065332
