rank,original_rank,symbol,name,market_cap_usd
90,104,AERO,Aerodrome Finance,312984432.10408133
91,105,SUN,Sun [New],307524821.2792995
92,106,TIA,Celestia,305249466.3251279
93,107,INJ,Injective,305057321.4337388
94,108,GRT,The Graph,298194545.0575915
95,109,BSV,Bitcoin SV,296108101.515921
96,110,SPX,SPX6900,292200015.73665303
97,111,LIT,Lighter,288085868.0288604
98,112,JASMY,JasmyCoin,287559017.2563801
99,113,FLOKI,FLOKI,287245408.5717004
100,114,SYRUP,Maple Finance,285585190.0003475
101,115,2Z,DoubleZero,280858423.6001032
102,116,IP,Story,278595497.6527734
103,117,CFX,Conflux,277256813.4729339
104,118,PYTH,Pyth Network,273937242.9037398
105,119,VVV,Venice Token,273472276.95119035
106,120,IOTA,IOTA,273352735.11153305
107,121,BARD,Lombard,257259274.62244323
108,122,LDO,Lido DAO,254139599.75307274
109,123,OP,Optimism,254113482.92358693
110,125,SAND,The Sandbox,242632992.44144237
111,126,ENS,Ethereum Name Service,230186724.16300318
112,127,MON,Monad,229588522.54094568
113,128,STRK,Starknet,226447225.2744592
114,129,LUNC,Terra Classic,224587059.4155116
115,130,TWT,Trust Wallet Token,214315260.48984966
116,131,HNT,Helium,213947311.1289307
117,132,AB,AB,212452645.3471532
118,133,PENDLE,Pendle,208619891.50401074
119,134,CVX,Convex Finance,201761433.3852411
120,135,ZBCN,Zebec Network,198414811.6560629
121,136,XCN,Onyxcoin,192905120.516053
122,137,AXS,Axie Infinity,192731949.68077147
123,139,NEO,Neo,185839732.7971887
124,140,MANA,Decentraland,182952620.59149846
125,141,VSN,Vision,181172255.7241391
126,142,B,BUILDon,180345820.19435397
127,143,THETA,Theta Network,178736131.07560575
128,144,ZK,ZKsync,178284384.78634682
129,145,WAL,Walrus,178129807.07311356
130,146,COMP,Compound,178073180.94328216
131,147,FLUID,Fluid,174847286.62415704
132,149,DEEP,DeepBook Protocol,172318058.52696878
133,150,WIF,dogwifhat,169717487.12316626
134,151,MX,MX Token,164642310.55734232
135,152,RAY,Raydium,163285785.006557
136,153,GALA,Gala,158672596.58370316
137,154,SENT,Sentient,156829654.56600204
138,155,TRAC,OriginTrail,156580832.04881
139,156,FARTCOIN,Fartcoin,156192512.0784178
140,157,RUNE,THORChain,152659806.2684997
141,158,BAT,Basic Attention Token,146053058.75009656
142,159,XEC,eCash,140597097.8356223
143,160,SFP,SafePal,138268147.05505782
144,161,BERA,Berachain,137144960.1821956
145,162,1INCH,1inch,135458327.2442567
146,163,WEMIX,WEMIX,133817396.99475095
147,164,COW,CoW Protocol,133538178.42926455
148,165,JTO,Jito,127534597.80754824
149,166,GLM,Golem,126931138.39465079
150,167,AKT,Akash Network,126473232.92007212
151,168,A,Vaulta,125640934.45764
152,169,0G,0G,125524087.598401
153,170,AR,Arweave,125159530.30743982
154,171,STG,Stargate Finance,124223296.51288846
155,172,S,Sonic,123007745.9400985
156,173,EGLD,MultiversX,122326627.0402549
157,174,EIGEN,EigenCloud,121622441.09597348
158,175,SKR,Seeker,120712079.21847945
159,176,AMP,Amp,117038752.14403607
160,177,LPT,Livepeer,112925362.87596458
161,178,FORM,Four,112587758.0433849
162,179,MELANIA,Official Melania Meme,111112812.7928231
163,180,ATH,Aethir,108668704.37581365
164,181,SNX,Synthetix,108338814.28541338
165,182,RSR,Reserve Rights,106136945.09061518
166,183,AWE,AWE,102551356.45140338
167,184,W,Wormhole,101402550.3641869
168,185,GAS,Gas,101190672.08047938
169,186,BEAM,Beam,100899416.46031955
170,187,YZY,YZY MONEY,97672264.8759491
171,188,ZEN,Horizen,97595503.3474096
172,189,ROSE,Oasis,95036953.98592459
173,190,TFUEL,Theta Fuel,94482565.06048672
174,191,QTUM,Qtum,93614004.11679886
175,192,ROBO,Fabric Protocol,93483985.47581029
176,193,BEAT,Audiera,92284571.00177652
177,194,FTT,FTX Token,92225772.76704256
178,195,GRASS,Grass,90566509.7790762
179,196,YFI,yearn.finance,90485962.57657108
180,197,CHEEMS,Cheems (cheems.pet),90038819.45487612
181,198,ZRX,0x Protocol,89786776.40634425
182,199,FOGO,Fogo,88778326.29055451
183,200,MYX,MYX Finance,88509308.737675
184,207,WETH,WETH,7006251388.073498
185,208,AETHWETH,Aave Ethereum WETH,6010731497.062839
186,210,CBBTC,Coinbase Wrapped BTC,5907200253.888451
187,213,RAIN,Rain,4345292283.696019
188,217,syrupUSDC,syrupUSDC,1555333976.2049804
189,219,BTCT,Bitcoin TRC20,1240688544.1291277
190,222,JLP,Jupiter Perps LP,1138033250.6017385
191,231,FBTC,Function,774613763.2246294
192,234,BDX,Beldex,619664727.5907726
193,238,syrupUSDT,syrupUSDT,568355940.7105191
194,240,slisBNBx,slisBNBx,542950469.0732026
195,241,bUSD0,Bond USD0,502245191.7564701
196,243,TBTC,tBTC,481080657.6342424
197,244,vBTC,Venus BTC,477927214.65757924
198,245,FTN,Fasttoken,474771387.91675407
199,246,SolvBTC,SolvBTC,452208687.8354726
200,250,SIREN,siren,405917262.78853595
201,252,vBNB,Venus BNB,378527097.5095398
202,257,DUCKY,Ducky,293069260.85214436
203,258,PEANUT,Peanut,289850194.9127465
204,267,APEPE,Ape and Pepe,229054244.04072
205,269,ZBU,Zeebu,214747382.47863784
206,270,GTBTC,GTBTC,211999823.506311
207,271,BETH,Beacon ETH,209713253.98341447
208,273,UNIBTC,Universal BTC,206692237.0692186
209,274,INF,Sanctum Infinity,200729091.9474266
210,275,BORG,SwissBorg,199390527.33058205
211,276,rBTC,Rootstock Bitcoin,195492062.05442405
212,277,WFI,WeFi,188028327.50610465
213,278,UDS,Undeads Games,182900488.6351637
214,279,SUT,SuperTrust,182668802.81722054
215,280,ADI,ADI,179551441.59717873
216,282,asBNB,Aster asBNB,166351763.53667295
217,283,ULTIMA,Ultima,164081523.05243996
218,284,KOGE,48 Club Token,162655569.45418623
219,285,TIBBIR,Ribbita by Virtuals,162561556.68957406
220,291,USDF,Aster USDF,133810642.19528203
221,292,ALE,Ailey,124388917.4627016
222,293,QUBIC,Qubic,120580278.47519474
223,296,GOMINING,GoМining,114428813.12140831
224,297,SOSO,SoSoValue,114043346.81266373
225,298,BAN,Comedian,113239415.74759535
226,299,RLB,Rollbit Coin,112293135.51348145
227,301,KTA,Keeta,108473981.30570379
228,302,VCNT,ViciCoin,106497294.54794459
229,303,LIGHT,Light,105577386.75331838
230,304,LION,Loaded Lions,104014589.99407546
231,305,SLT,SLT,103512790.94946529
232,308,SMILEK,Smilek to the Bank,97938197.25418139
233,309,BMX,BitMart Token,97820679.7125178
234,310,PIEVERSE,Pieverse,97507742.33370507
235,311,ZANO,Zano,94055630.40294746
236,312,SHFL,Shuffle,94040998.698238
237,313,ICNT,Impossible Cloud Network,93273078.17203851
238,316,xSolvBTC,xSolvBTC,92137464.23650002
239,317,GWEI,ETHGas,91093569.32753888
240,319,TSLAX,Tesla tokenized stock (xStock),89122308.75792281
241,320,RVN,Ravencoin,87835653.40333852
242,321,TOSHI,Toshi,87744677.31592958
243,322,FLOW,Flow,87531544.54874077
244,323,CORE,Core,86750721.2983994
245,324,KAITO,KAITO,86661373.3721515
246,325,DHN,Dohrnii,85064507.38661866
247,326,ZIL,Zilliqa,84277762.95167267
248,327,XVG,Verge,83408597.45999883
249,328,KMNO,Kamino,82201965.89186981
250,329,CTC,Creditcoin,82037946.02501915
251,330,ESPORTS,Yooldo,81974641.86511204
252,332,KSM,Kusama,81591302.22384769
253,333,HBTC,Huobi BTC,81499807.35489827
254,334,MET,Meteora,81294903.20774433
255,335,TURBO,Turbo,81205648.1271026
256,336,AIOZ,AIOZ Network,80990567.51468103
257,339,REAL,RealLink,80150631.52912048
258,340,EDU,Open Campus,79489632.23957285
259,341,MY,MetYa,79437883.8066062
260,342,UB,Unibase,79219284.89690231
261,343,UAI,UnifAI Network,79112008.13350904
262,344,DOG,Dog (Bitcoin),78843109.5154437
263,345,LYN,Everlyn AI,78833792.88219742
264,347,HOME,Defi App,78542900.43302141
265,348,BANANAS31,Banana For Scale,78246061.45362853
266,349,ZORA,ZORA,78090872.56992652
267,350,MANTRA,MANTRA,77748053.25755352
268,351,SIGN,Sign,77103267.36715892
269,352,RON,Ronin,77084690.86237615
270,353,BabyDoge,Baby Doge Coin,76421082.22692116
271,355,CKB,Nervos Network,75902026.23739909
272,356,BRETT,Brett (Based),75259789.8134687
273,357,T,Threshold,74741466.6957403
274,358,SAFE,Safe,74505061.86670898
275,359,SUPER,SuperVerse,73901233.7667648
276,360,DGB,DigiByte,73795349.67042987
277,361,DYDX,dYdX,73770526.58572404
278,362,APE,ApeCoin,73455107.05663496
279,363,CFG,Centrifuge,72844473.83474232
280,364,TRIA,Tria,72340954.51976945
281,365,MINA,Mina,72318528.33061841
282,367,MOVE,Movement,72186486.2574347
283,368,NXPC,NEXPACE,71958988.68023257
284,369,USDon,U.S. Dollar Tokenized Currency (Ondo),71941774.15183268
285,370,HOT,Holo,71539300.21839768
286,371,APES,APES,71281214.56222102
287,373,CYS,Cysic,69952462.0397683
288,374,WMTX,World Mobile Token,69922294.07363755
289,375,XNO,Nano,69835979.23953971
290,376,DRV,Derive,69663576.73076653
291,377,TBK,TronBank,68962875.60539375
292,379,NILA,MindWaveDAO,68787306.16963366
293,380,AZTEC,Aztec,68359214.4921016
294,382,ACH,Alchemy Pay,67880366.07360959
295,383,CRCLon,Circle Internet Group Tokenized Stock (Ondo),66616571.19832249
296,384,ZETA,ZetaChain,66129360.41604864
297,385,GMX,GMX,66110784.82515808
298,386,SAHARA,Sahara AI,66065314.67154848
299,387,KUB,KUB Coin,65156836.74652542
300,388,KAVA,Kava,65074972.33500992
301,389,SOON,SOON,64950112.82481306
302,390,XPR,XPR Network,64932423.04448326
303,391,ASTR,Astar,64595376.97199739
304,392,VVS,VVS Finance,64401727.56123934
305,393,ALCH,Alchemist AI,63817921.94227812
306,394,AXL,Axelar,63632811.32836174
307,395,ELF,aelf,63608154.88335209
308,396,DESO,Decentralized Social,63291708.69919192
309,397,币安人生,币安人生,63106968.13065224
310,398,MOG,Mog Coin,62839623.25272198
311,399,VELO,Velo,62780980.54750388
312,400,OPN,Opinion,62757765.72091797
313,401,CCD,Concordium,62665458.38290265
314,402,XAUM,Matrixdock Gold,62652027.67967577
315,406,SPYX,SP500 tokenized ETF (xStock),61499352.76587522
316,407,NPC,Non-Playable Coin,61052189.1951611
317,408,PYTHIA,Pythia,60976902.88844215
318,409,PLUME,Plume,60897209.69122566
319,410,COAI,ChainOpera AI,60365588.62045308
320,411,FRAX,Frax (prev. FXS),60309496.35750678
321,412,BDCA,BitDCA,60260009.71256381
322,414,SUSHI,SushiSwap,59756914.23538081
323,415,MOCA,Moca Network,58895395.27197345
324,416,SC,Siacoin,58133837.70045437
325,417,VTHO,VeThor Token,58097948.90276271
326,419,HSK,HashKey Platform Token,57908933.70068147
327,420,RAVE,RaveDAO,57754963.95674001
328,421,CBXRP,Coinbase Wrapped XRP,57669793.52558741
329,422,CRCLX,Circle tokenized stock (xStock),57260296.23747548
330,423,NMR,Numeraire,57183584.19307574
331,424,INI,InitVerse,57097489.16445655
332,425,SPK,Spark,57053380.99939525
333,426,LUR,Lumera Health,57027071.45811125
334,427,MBG,MultiBank Group,56651827.80910053
335,428,REQ,Request,56509584.424533
336,429,ORCA,Orca,56439219.79888153
337,431,WAVES,Waves,55743722.468268
338,432,GEOD,GEODNET,55688441.64239723
339,433,PCI,Paycoin,55312152.71675582
340,434,XYO,XYO,55042408.23701439
341,435,MEW,cat in a dogs world,54981479.73215312
342,436,ID,SPACE ID,54914972.28589688
343,438,JELLYJELLY,Jelly-My-Jelly,54579006.28091439
344,439,ESP,Espresso,54521188.17364077
345,440,ORDI,ORDI,54179707.21012381
346,442,LBT,Law Blocks (AI),53983233.54811031
347,443,ME,Magic Eden,53357158.29832687
348,444,AVNT,Avantis,53260049.43084602
349,445,GOOGLon,Alphabet Class A Tokenized Stock (Ondo),53156916.114941
350,446,BLUR,Blur,52803366.4248757
351,447,WHITE,WhiteRock,52559548.18861435
352,448,ZIG,ZIGChain,52343490.23595655
353,449,ALEO,Aleo,52157164.20497742
354,450,FAI,Freysa,52059866.43720098
355,451,VNDC,VNDC,51970519.16945842
356,452,ARRR,Pirate Chain,51927179.07737391
357,453,BURN,Burnedfi,51732314.99090481
358,454,PROVE,Succinct,51600086.17856038
359,455,POPCAT,Popcat (SOL),51504480.78311338
360,456,LINEA,Linea,51409304.71278976
361,457,vETH,Venus ETH,50959508.37308571
362,458,QAI,QuantixAI,50594991.76108111
363,459,MOODENG,Moo Deng (moodengsol.com),50369533.24796442
364,460,IOTX,IoTeX,49637478.44941598
365,461,XVS,Venus,49310283.56687681
366,462,BTW,Bitway,48593929.11250816
367,463,JSM,Joseon Mun,48199793.42143666
368,464,SRX,StorX Network,47837879.39064384
369,465,NOW,ChangeNOW Token,47817171.49293108
370,466,TAG,Tagger,47630872.8076417
371,467,ZAMA,Zama,47512369.62561003
372,468,Q,Quack AI,47465968.29599003
373,469,DRIFT,Drift,47123303.18906052
374,470,HUMA,Huma Finance,46891383.36866846
375,472,PNUT,Peanut the Squirrel,46509979.94680469
376,473,SNT,Status,45990308.88831673
377,474,ARDR,Ardor,45933481.55904179
378,475,B2,BSquared Network,45778058.81624664
379,476,SSV,ssv.network,45615920.46214274
380,477,GOHOME,GOHOME,45221617.30296124
381,478,FB,Fractal Bitcoin,45202335.49877125
382,479,LUNA,Terra,45118126.33391034
383,480,TRB,Tellor,45099162.21958701
384,481,CELO,Celo,44787794.59723748
385,482,TORN,Tornado Cash,44692330.58208588
386,483,LA,Lagrange,44666976.97517015
387,484,DUSK,Dusk,44495979.28140778
388,485,MERL,Merlin Chain,44225659.19006229
389,486,NVDAX,NVIDIA tokenized stock (xStock),44176080.88791404
390,487,MASK,Mask Network,44157157.75775835
391,488,RPL,Rocket Pool,44038459.96389756
392,489,ARC,AI Rig Complex,43990194.83671279
393,490,ANKR,Ankr,43956910.56342242
394,491,METAX,Meta tokenized stock (xStock),43840272.02923035
395,493,ISLM,ISLM,43725527.64939902
396,494,WOULD,would,43595133.73656797
397,495,BIO,Bio Protocol,43405039.31062372
398,496,BIRB,Moonbirds,43129392.13058614
399,497,VANA,Vana,42909216.69951902
400,498,ALT,Altlayer,42839794.4303552
401,499,REKT,Rekt (rekt.com),42623745.02416124
402,500,LRC,Loopring,42622576.81493673
403,501,ORBS,Orbs,42414659.97169759
404,502,SKYAI,SKYAI,42216631.67835864
405,503,NOT,Notcoin,42015117.64855946
406,504,LCX,LCX,41996647.45134442
407,505,POLYX,Polymesh,41420713.93344733
408,506,RED,RedStone,41235997.4814966
409,507,CSPR,Casper,41155416.50717235
410,508,BAND,Band,40960370.1543212
411,509,SOMI,Somnia,40960307.48845855
412,510,ATOS,Atoshi,40943690.54874401
413,511,BABY,Babylon,40938292.21612983
414,512,KGEN,KGeN,40931909.26445747
415,513,AIC,AI Companions,40890586.85397246
416,514,STORJ,Storj,40856360.66801292
417,515,ICX,ICON,40735740.04838047
418,516,SKL,SKALE,40608509.65364804
419,519,BORA,BORA,40374361.96461172
420,520,WHITEWHALE,The White Whale,40329687.26920929
421,521,ELG,EscoinToken,40299976.57824049
422,522,FUL,Fulcrom Finance,40126293.92961374
423,523,BTR,Bitlayer,40120599.85413882
424,525,KNTQ,Kinetiq,39866016.87247098
425,526,UMA,UMA,39605007.25023181
426,527,AIAT,AI Analysis Token,39557758.3898518
427,528,BIM,BIM,39521999.31948042
428,529,GLIDR,Glidr,39422204.54564864
429,530,VEREM,Verified Emeralds,39189633.49949097
430,531,ONT,Ontology,39066738.57011729
431,532,PUNDIX,Pundi X (New),39041037.46166221
432,533,ANB,Ant.FUN,38962460.94605827
433,534,APEX,ApeX Protocol,38886802.48221369
434,535,LOCUS,Locus Chain,38785353.45805776
435,536,IRYS,Irys,38706989.64208564
436,537,USELESS,Useless Coin,38573529.67678639
437,538,SWETH,swETH,38531429.55768901
438,539,ELON,Dogelon Mars,38505382.09431752
439,540,SQD,Subsquid,38141939.60362436
440,541,SNEK,Snek,38068140.70180544
441,542,MEME,Memecoin,38058642.52418646
442,543,RIF,Rootstock Infrastructure Framework,38015309.13648692
443,544,PEOPLE,ConstitutionDAO,37853504.27004238
444,545,GLDX,Gold tokenized ETF (xStock),37568749.34455366
445,546,ZCHF,Frankencoin,37509212.79037576
446,547,PRO,Propy,37453752.35306102
447,548,XCH,Chia,37433776.21783746
448,549,EDGE,Definitive,37276599.0688534
449,550,OWB,OWB,37232386.91774958
450,551,MVL,MVL,37163206.69200625
451,552,EGL1,EGL1,37048493.39108563
452,553,VR,Victoria VR,37045524.4303954
453,554,GPS,GoPlus Security,36774953.00533903
454,555,ARIA,AriaAI,36564763.52960652
455,556,RTX,RateX,36510864.20429234
456,557,G,Gravity (by Galxe),36463848.94267803
457,558,IOST,IOST,36454295.2037282
458,559,COLLECT,Collect on Fanable,36315886.33736639
459,560,QQQX,Nasdaq tokenized ETF (xStock),36047971.00666212
460,561,POWR,Powerledger,36045881.50156981
461,562,PM,PumpMeme,36038757.55293129
462,563,CHEX,Chintai,36004086.18842214
463,564,LAB,LAB,35972081.89194337
464,567,PARTI,Particle Network,35841766.95070711
465,568,ENJ,Enjin Coin,35708420.44637354
466,569,DEP,DEAPcoin,35678541.13143899
467,571,AT,APRO,35512717.74115223
468,572,ONE,Harmony,35470583.33045588
469,573,THE,THENA,35382237.16484986
470,575,RESOLV,Resolv,35307486.21394193
471,576,LON,Tokenlon Network Token,35110689.39446422
472,577,SLVon,iShares Silver Trust Tokenized ETF (Ondo),34966456.47313541
473,578,STIK,Staika,34922034.88689248
474,579,PIXEL,Pixels,34861278.13123337
475,580,GUA,SUPERFORTUNE,34832130.62529798
476,581,MUon,Micron Technology Tokenized Stock (Ondo),34828582.1306179
477,582,MNGO,Mango,34776567.49035891
478,583,CYBER,Cyber,34754027.17001342
479,584,RLC,iExec RLC,34714189.88458879
480,585,GMT,GMT,34672225.80650732
481,586,UNP,UNIPOLY,34532215.5855318
482,587,ARK,Ark,34507643.64496573
483,588,IO,io.net,34497634.44773879
484,589,SWFTC,SwftCoin,34401949.72958755
485,590,ACX,Across Protocol,34326500.55997527
486,591,WOO,WOO,34236347.13355039
487,592,MGO,Mango Network,34220531.33641106
488,593,GOOGLX,Alphabet tokenized stock (xStock),34051324.81532558
489,596,NAORIS,Naoris Protocol,33882380.85582675
490,597,POKT,Pocket Network,33646975.56661705
491,598,QUAI,Quai Network,33584796.82383973
492,599,COTI,COTI,33570434.466525
493,600,HIVE,Hive,33535382.96653629
494,601,LAYER,Solayer,33305490.93170836
495,602,OPEN,OpenLedger,32960468.8535289
496,603,WIBE,Wibegram,32925088.44019849
497,604,AIH,AIHub,32856466.17812799
498,605,KLK,Klickl Token,32797284.08681762
499,606,BREV,Brevis,32773603.77309973
500,607,SPYon,SPDR S&P 500 Tokenized ETF (Ondo),32504766.06091045
501,608,STEEM,Steem,32446777.49386805
502,609,CLASH,GeorgePlaysClashRoyale,32263735.0606144
503,610,OMI,ECOMI,32184991.72130216
504,611,BNT,Bancor,32178697.2541983
505,612,MANTA,Manta Network,32014085.60800769
506,614,WKC,Wiki Cat,31704224.06373251
507,615,BSB,Block Street,31657052.60936353
508,616,MOB,MobileCoin,31364300.91082024
509,617,ETHW,EthereumPoW,31343035.81129108
510,618,AUCTION,Bounce Token,31086030.07762256
511,620,BOME,BOOK OF MEME,30935162.56978559
512,621,DBR,deBridge,30709823.73311999
513,622,NEIRO,Neiro,30519485.51276285
514,623,CVC,Civic,30394079.40331229
515,624,CARV,CARV,30369071.32866052
516,625,PLAY,PlaysOut,30184850.66777057
517,626,SPELL,Spell Token,29994932.79523491
518,628,WAR,WAR,29666207.67001111
519,629,LSK,Lisk,29495139.41823161
520,630,XPIN,XPIN Network,29325148.61529366
521,631,BB,BounceBit,29209903.04256995
522,632,DAG,Constellation,29202269.98065258
523,633,IQ,IQ,29096620.74621021
524,634,WAXP,WAX,29023133.07602164
525,636,SHX,Stronghold SHx,28916834.09036398
526,637,BIGTIME,Big Time,28888107.74073948
527,638,VAM,Vitalum,28758206.69786926
528,639,STRAX,Xertra,28713202.27470282
529,640,LQTY,Liquity,28679988.43819654
530,641,VELVET,Velvet,28489156.72760402
531,642,YGG,Yield Guild Games,28475460.36474499
532,643,SDEX,SmarDex,28420554.81787883
533,644,GIGGLE,Giggle Fund,28332321.36257634
534,645,UNS,UNS TOKEN,28272691.03756812
535,646,ILV,Illuvium,28262385.42049389
536,647,UQC,Uquid Coin,28217872.59230745
537,648,MLK,MiL.k,28200267.10666366
538,649,BLAST,Blast,28179445.8495598
539,650,AUDIO,Audius,28144813.73840863
540,651,SMART,SMART,28132347.33826951
541,653,QANX,QANplatform,28067629.59086614
542,654,KERNEL,KernelDAO,28046639.54595016
543,656,HOLO,Holoworld AI,27893491.81626172
544,657,ZENT,Zentry,27822796.43761334
545,658,SATS,SATS (Ordinals),27588458.5536
546,659,KNC,Kyber Network Crystal v2,27586649.33284437
547,660,eUSD,Electronic USD,27485498.0760324
548,661,C98,Coin98,27468889.5413089
549,663,AIXBT,aixbt,27419552.94039638
550,664,GUN,GUNZ,27293480.18381289
551,665,CTK,Shentu,27208048.16137264
552,666,MSTRX,MicroStrategy tokenized stock (xStock),27155711.80221445
553,667,ONG,Ontology Gas,27076641.02429524
554,668,ENSO,Enso,27059636.53208025
555,669,MMT,Momentum,27035150.6030439
556,670,AERGO,Aergo,26767386.17507104
557,671,DPI,DeFi Pulse Index,26646485.60164805
558,672,SCRT,Secret,26428379.71709002
559,673,SXT,Space and Time,26249395.61046387
560,674,QQQon,Invesco QQQ Tokenized ETF (Ondo),26240365.28761691
561,675,ERG,Ergo,26216173.86021589
562,676,OSMO,Osmosis,26214707.25120647
563,677,CLANKER,tokenbot,26087899.0250675
564,678,POWER,Power Protocol,25956848.23993782
565,679,MEY,Mey Network,25938931.07075999
566,680,GAME,GameBuild,25862229.3469756
567,681,BFC,Bifrost,25630112.469448
568,682,ANT,Autonomi,25624286.00832196
569,685,ANIME,Animecoin,25506387.43560344
570,686,API3,API3,25374856.05057379
571,687,ALLO,Allora,25358873.84169985
572,688,PEAQ,peaq,25262039.68740463
573,689,CBK,Cobak Token,25251193.36539213
574,690,XAUT0,Tether Gold Tokens,25168495.91498458
575,691,PHA,Phala Network,25082550.31771821
576,692,TRADOOR,Tradoor,25056906.64395744
577,693,USUAL,Usual,24980341.39874579
578,694,ARKM,Arkham,24866616.40662887
579,695,ISIKC,Isiklar Coin,24811168.9603049
580,697,AAPLX,Apple tokenized stock (xStock),24646998.08951543
581,698,MTL,Metal DAO,24642448.30141236
582,699,IDOL,MEET48,24538181.31481887
583,700,LISTA,Lista DAO,24525676.66607105
584,701,WET,Humidifi,24514778.62609905
585,702,ORE,Ore,24393351.69295632
586,704,APR,aPriori,24339285.20722587
587,705,XRD,Radix,24298278.14157844
588,706,CROSS,CROSS,24203756.6730273
589,708,VENOM,Venom,24053478.64922302
590,709,WXT,Wirex Token,24051132.44179893
591,710,MED,MediBloc,24043168.61332849
592,711,AEVO,Aevo,23795903.06246886
593,712,NVDAon,NVIDIA Tokenized Stock (Ondo),23772174.81073958
594,713,METIS,Metis,23550419.86448574
595,714,REZ,Renzo,23517513.7268009
596,715,XAI,Xai,23453417.6317834
597,716,CHEEL,Cheelee,23452853.31250775
598,717,TAIKO,Taiko,23440424.02440779
599,719,AO,AO,23289305.83637374
600,720,DENT,Dent,23247209.06685049
601,721,CTSI,Cartesi,23203305.2944371
602,722,FLUX,Flux,23140794.45359931
603,723,CGO,Comtech Gold,23118830.81069119
604,724,QKC,QuarkChain,22930308.67520186
605,725,DIA,DIA,22924701.00163395
