rank,original_rank,symbol,name,market_cap_usd
1,1,BTC,Bitcoin,1409968708388.9604
2,2,ETH,Ethereum,250210871244.70114
3,4,BNB,BNB,88923935523.4283
4,5,XRP,XRP,84779072786.68706
5,7,SOL,Solana,49611563103.42539
6,8,TRX,TRON,27389183366.96889
7,9,DOGE,Dogecoin,14531161822.969133
8,10,HYPE,Hyperliquid,9585319387.056274
9,11,ADA,Cardano,9498173786.335886
10,12,BCH,Bitcoin Cash,9107216290.309498
11,13,LEO,UNUS SED LEO,8342766777.981834
12,14,XMR,Monero,6461539364.294589
13,15,LINK,Chainlink,6414325455.075277
14,17,CC,Canton,5597145610.865453
15,19,XLM,Stellar,5288368031.615884
16,21,LTC,Litecoin,4199216488.6360216
17,22,AVAX,Avalanche,4178527331.3330684
18,24,HBAR,Hedera,4105747497.0822334
19,25,SUI,Sui,3856980624.819158
20,26,SHIB,Shiba Inu,3485188755.0329957
21,27,ZEC,Zcash,3452659839.182909
22,28,TON,Toncoin,3210525121.8750787
23,29,CRO,Cronos,3112274320.2849755
24,30,XAUt,Tether Gold,2868891254.609294
25,31,WLFI,World Liberty Financial,2792086262.0710497
26,32,PI,Pi,2623108116.2545733
27,33,PAXG,PAX Gold,2555339630.346686
28,34,DOT,Polkadot,2538104153.453751
29,35,UNI,Uniswap,2483722321.5056777
30,36,MNT,Mantle,2347909871.782583
31,37,TAO,Bittensor,2324076314.4617553
32,38,OKB,OKB,2001386413.2260854
33,39,M,MemeCore,1876551824.155547
34,40,SKY,Sky,1873848763.5163252
35,41,NEAR,NEAR Protocol,1765391678.1903067
36,43,ASTER,Aster,1738083969.6325214
37,44,AAVE,Aave,1716814977.6809123
38,46,BGB,Bitget Token,1508902447.2942107
39,47,ICP,Internet Computer,1490183860.7076945
40,48,PEPE,Pepe,1386602760.054963
41,49,ETC,Ethereum Classic,1289201927.5015092
42,50,ONDO,Ondo,1264182577.0556662
43,52,KCS,KuCoin Token,1062384232.941958
44,53,POL,Polygon (prev. MATIC),1049004744.8117367
45,54,WLD,Worldcoin,1048112439.8677012
46,56,ATOM,Cosmos,913669627.6295825
47,57,ENA,Ethena,904604856.8617902
48,58,RENDER,Render,876200541.3117061
49,59,KAS,Kaspa,834652418.7834674
50,60,NIGHT,Midnight,819132200.6227889
51,61,GT,GateToken,809203690.0326124
52,62,MORPHO,Morpho,798972895.5561318
53,63,ALGO,Algorand,791505381.7938281
54,64,QNT,Quant,775848948.027354
55,65,FLR,Flare,756998634.2221081
56,66,APT,Aptos,728075970.10339
57,67,PUMP,Pump.fun,696210806.357128
58,68,TRUMP,OFFICIAL TRUMP,682550654.0115094
59,69,FIL,Filecoin,669117259.0628307
60,70,XDC,XDC Network,650628417.6159987
61,71,ZRO,LayerZero,638207182.4718777
62,72,VET,VeChain,617860191.7969979
63,73,ARB,Arbitrum,600004803.1783614
64,75,NEXO,Nexo,584433628.9966346
65,76,JUP,Jupiter,569117177.811053
66,77,BONK,Bonk,535326111.60862285
67,79,VIRTUAL,Virtuals Protocol,471066334.54583067
68,80,JST,JUST,469372454.7234096
69,81,DCR,Decred,465205341.7073458
70,82,STX,Stacks,464418299.5755577
71,83,CAKE,PancakeSwap,460220998.5104387
72,84,PENGU,Pudgy Penguins,453796441.6527252
73,86,KITE,Kite,446175959.2422728
74,87,SEI,Sei,441779868.1480002
75,88,ETHFI,ether.fi,422734602.27586466
76,89,DASH,Dash,415032217.66214937
77,90,FET,Artificial Superintelligence Alliance,400784256.9084692
78,91,XTZ,Tezos,395538414.44164443
79,92,CHZ,Chiliz,385291535.59696233
80,94,RIVER,River,365872767.9724219
81,95,PIPPIN,pippin,354395170.7418426
82,96,DEXE,DeXe,349245317.4184763
83,97,CRV,Curve DAO Token,346853039.4798989
84,98,KAIA,Kaia,342827689.1180484
85,99,GNO,Gnosis,337874023.103069
86,100,H,Humanity Protocol,337310756.1416517
87,101,IMX,Immutable,336305059.46918315
88,102,NFT,AINFT,331276780.8949598
89,103,BTT,BitTorrent [New],322144026.88491863
